| category      | macro\_nutrient   | dose                          |   quantity | unit\_symbol   |
|---------------|------------------|-------------------------------|------------|---------------|
| colazione     | proteins         | Latte parz. scremato          |        150 | g             |
| colazione     | proteins         | Latte intero                  |        100 | g             |
| colazione     | proteins         | Latte di riso                 |        150 | g             |
| colazione     | proteins         | Latte di soia                 |        200 | g             |
| colazione     | proteins         | Latte scremato                |        200 | g             |
| colazione     | proteins         | Latte di avena                |        150 | g             |
| colazione     | proteins         | Latte di mandorle             |        100 | g             |
| colazione     | carbohydrates    | Fette biscottate integrali    |         40 | g             |
| colazione     | carbohydrates    | Fette biscottate              |         40 | g             |
| pranzo        | carbohydrates    | Pasta                         |        100 | g             |
| pranzo        | carbohydrates    | Pasta integrale               |        100 | g             |
| pranzo        | carbohydrates    | Farro                         |        100 | g             |
| pranzo        | carbohydrates    | Quinoa                        |         90 | g             |
| pranzo        | carbohydrates    | Grano saraceno                |        100 | g             |
| pranzo        | carbohydrates    | Amaranto                      |        100 | g             |
| pranzo        | carbohydrates    | Couscous                      |         90 | g             |
| pranzo        | carbohydrates    | Orzo                          |        100 | g             |
| pranzo        | carbohydrates    | Riso                          |        100 | g             |
| pranzo        | carbohydrates    | Riso basmati                  |         90 | g             |
| pranzo        | carbohydrates    | Riso integrale                |        100 | g             |
| pranzo        | carbohydrates    | Riso venere                   |        100 | g             |
| pranzo        | carbohydrates    | Avena                         |        100 | g             |
| pranzo        | carbohydrates    | Pane                          |        100 | g             |
| pranzo        | carbohydrates    | Pane integrale                |        120 | g             |
| pranzo        | carbohydrates    | Pancarrè                      |        100 | g             |
| pranzo        | carbohydrates    | Pizza bianca                  |         90 | g             |
| pranzo        | carbohydrates    | Patate                        |        300 | g             |
| pranzo        | carbohydrates    | Piadina                       |        100 | g             |
| pranzo        | carbohydrates    | Piadina integrale             |        100 | g             |
| pranzo        | proteins         | Uova                          |        120 | g             |
| pranzo        | proteins         | Formaggio spalmabile          |         60 | g             |
| pranzo        | proteins         | Fesa di tacchino              |        150 | g             |
| pranzo        | proteins         | Prosciutto cotto              |         60 | g             |
| pranzo        | proteins         | Prosciutto crudo              |         40 | g             |
| pranzo        | proteins         | Hamburger di pollo o tacchino |        150 | g             |
| pranzo        | proteins         | Petto di tacchino             |        120 | g             |
| pranzo        | proteins         | Pollo                         |        140 | g             |
| pranzo        | proteins         | Petto di pollo                |        150 | g             |
| pranzo        | proteins         | Tacchino                      |        150 | g             |
| pranzo        | proteins         | Bovino                        |        140 | g             |
| pranzo        | proteins         | Maiale                        |         90 | g             |
| pranzo        | proteins         | Manzo                         |        140 | g             |
| pranzo        | proteins         | Vitello                       |        140 | g             |
| pranzo        | proteins         | Salmone affumicato            |         80 | g             |
| pranzo        | proteins         | Tonno al naturale             |         80 | g             |
| pranzo        | proteins         | Tonno sott'olio sgocciolato   |         80 | g             |
| pranzo        | proteins         | Tonno                         |        120 | g             |
| pranzo        | proteins         | Pesce spada                   |        150 | g             |
| pranzo        | proteins         | Salmone                       |        120 | g             |
| pranzo        | proteins         | Sgombro                       |        120 | g             |
| pranzo        | proteins         | Alici                         |        150 | g             |
| pranzo        | proteins         | Merluzzo                      |        220 | g             |
| pranzo        | proteins         | Trota                         |        170 | g             |
| pranzo        | proteins         | Nasello                       |        220 | g             |
| pranzo        | proteins         | Orata                         |        150 | g             |
| pranzo        | proteins         | Sardine                       |        100 | g             |
| pranzo        | proteins         | Sogliola                      |        170 | g             |
| pranzo        | proteins         | Spigola                       |        180 | g             |
| pranzo        | proteins         | Fagioli                       |        160 | g             |
| pranzo        | proteins         | Lenticchie                    |        100 | g             |
| pranzo        | proteins         | Fave                          |        180 | g             |
| pranzo        | proteins         | Piselli                       |        120 | g             |
| pranzo        | fibers           | Minestrone                    |        150 | g             |
| pranzo        | fibers           | Pomodori                      |        200 | g             |
| pranzo        | fibers           | Finocchi                      |        200 | g             |
| pranzo        | fibers           | Pomodorini                    |        200 | g             |
| pranzo        | fibers           | Zucchine                      |        200 | g             |
| pranzo        | fibers           | Broccoli                      |        200 | g             |
| pranzo        | fibers           | Rape                          |        200 | g             |
| pranzo        | fibers           | Cicoria                       |        200 | g             |
| pranzo        | fibers           | Cavolo nero                   |        200 | g             |
| pranzo        | fibers           | Cavolfiore                    |        200 | g             |
