| category      | macro\_nutrient   | dose                                              |   quantity | unit\_symbol   |
|---------------|------------------|---------------------------------------------------|------------|---------------|
| colazione     | proteins         | Yogurt greco 0% - senza zuccheri e senza lattosio |        170 | g             |
| colazione     | proteins         | Yogurt greco 2% - senza zuccheri e senza lattosio |        150 | g             |
| colazione     | proteins         | Yogurt magro - senza lattosio                     |        250 | g             |
| colazione     | proteins         | Yogurt di soia - senza zuccheri                   |        250 | g             |
| colazione     | proteins         | Yogurt intero - senza zuccheri e senza lattosio   |        125 | g             |
| colazione     | proteins         | Kefir - senza zuccheri e senza lattosio           |        150 | g             |
| colazione     | proteins         | Latte parz.scremato - senza lattosio              |        200 | g             |
| colazione     | proteins         | Latte vegetale - senza zuccheri                   |        250 | g             |
| colazione     | proteins         | Hummus di ceci                                    |         50 | g             |
| colazione     | proteins         | Uova                                              |          1 | None          |
| colazione     | proteins         | Fesa di tacchino                                  |         70 | g             |
| colazione     | proteins         | Bresaola                                          |         70 | g             |
| colazione     | proteins         | Prosciutto cotto                                  |         70 | g             |
| colazione     | proteins         | Prosciutto crudo                                  |         70 | g             |
| colazione     | proteins         | Grana                                             |         15 | g             |
| colazione     | proteins         | Parmigiano                                        |         15 | g             |
| colazione     | carbohydrates    | Muesli                                            |         30 | g             |
| colazione     | carbohydrates    | Cereali soffiati                                  |         30 | g             |
| colazione     | carbohydrates    | Fiocchi d'avena                                   |         30 | g             |
| colazione     | carbohydrates    | Semi di chia                                      |         25 | g             |
| colazione     | carbohydrates    | Pane integrale                                    |         50 | g             |
| colazione     | carbohydrates    | Gallette integrali                                |         30 | g             |
| colazione     | carbohydrates    | Wasa integrali                                    |          4 | None          |
| colazione     | carbohydrates    | Biscotti integrali - tipo Misura                  |         30 | g             |
| colazione     | carbohydrates    | Pancakes                                          |         80 | g             |
| colazione     | fats             | Avocado                                           |         30 | g             |
| colazione     | fruits           | Frutta fresca                                     |        150 | g             |
| colazione     | topping          | Frutta secca                                      |         10 | g             |
| colazione     | topping          | Miele                                             |         10 | g             |
| colazione     | topping          | Marmellata classica                               |         15 | g             |
| colazione     | topping          | Nutella                                           |         10 | g             |
| colazione     | topping          | Cioccolato fondente                               |         10 | g             |
| colazione     | topping          | Burro di frutta secca                             |         10 | g             |
| colazione     | topping          | Cocco essiccato                                   |         10 | g             |
| colazione     | topping          | Cacao amaro                                       |         20 | g             |
| pranzo        | carbohydrates    | Pasta                                             |         20 | g             |
| pranzo        | carbohydrates    | Pasta integrale                                   |         20 | g             |
| pranzo        | carbohydrates    | Farro                                             |         20 | g             |
| pranzo        | carbohydrates    | Quinoa                                            |         20 | g             |
| pranzo        | carbohydrates    | Grano saraceno                                    |         20 | g             |
| pranzo        | carbohydrates    | Amaranto                                          |         20 | g             |
| pranzo        | carbohydrates    | Couscous                                          |         20 | g             |
| pranzo        | carbohydrates    | Orzo                                              |         20 | g             |
| pranzo        | carbohydrates    | Riso                                              |         20 | g             |
| pranzo        | carbohydrates    | Riso basmati                                      |         20 | g             |
| pranzo        | carbohydrates    | Riso integrale                                    |         20 | g             |
| pranzo        | carbohydrates    | Riso venere                                       |         20 | g             |
| pranzo        | carbohydrates    | Avena                                             |         20 | g             |
| pranzo        | carbohydrates    | Pane integrale                                    |         30 | g             |
| pranzo        | carbohydrates    | Pane                                              |         30 | g             |
| pranzo        | carbohydrates    | Patate                                            |         80 | g             |
| pranzo        | carbohydrates    | Gnocchi                                           |         40 | g             |
| pranzo        | carbohydrates    | Wasa integrali                                    |          2 | None          |
| pranzo        | carbohydrates    | Gallette integrali                                |         15 | g             |
| pranzo        | carbohydrates    | Pasta fresca                                      |         30 | g             |
| pranzo        | carbohydrates    | Piadina                                           |         20 | g             |
| pranzo        | carbohydrates    | Piadina integrale                                 |         20 | g             |
| pranzo        | proteins         | Ricotta - senza lattosio High Protein             |        150 | g             |
| pranzo        | proteins         | Fiocchi di latte                                  |        150 | g             |
| pranzo        | proteins         | Ricotta                                           |        100 | g             |
| pranzo        | proteins         | Grana                                             |         35 | g             |
| pranzo        | proteins         | Parmigiano                                        |         35 | g             |
| pranzo        | proteins         | Tempeh                                            |         80 | g             |
| pranzo        | proteins         | Seitan                                            |         80 | g             |
| pranzo        | proteins         | Tofu                                              |        100 | g             |
| pranzo        | proteins         | Uova                                              |          2 | None          |
| pranzo        | proteins         | Fesa di tacchino                                  |        100 | g             |
| pranzo        | proteins         | Prosciutto cotto                                  |        100 | g             |
| pranzo        | proteins         | Bresaola                                          |        100 | g             |
| pranzo        | proteins         | Prosciutto crudo                                  |        100 | g             |
| pranzo        | proteins         | Lenticchie                                        |        150 | g             |
| pranzo        | proteins         | Fave                                              |        150 | g             |
| pranzo        | proteins         | Fagioli                                           |        150 | g             |
| pranzo        | proteins         | Ceci                                              |        150 | g             |
| pranzo        | proteins         | Piselli                                           |        150 | g             |
| pranzo        | proteins         | Pasta di legumi                                   |         50 | g             |
| pranzo        | proteins         | Farina di ceci                                    |         50 | g             |
| pranzo        | proteins         | Tonno al naturale                                 |        150 | g             |
| pranzo        | proteins         | Tonno sott'olio sgocciolato                       |         80 | g             |
| pranzo        | proteins         | Salmone affumicato                                |        100 | g             |
| pranzo        | proteins         | Hamburger di pollo o tacchino                     |        150 | g             |
| pranzo        | proteins         | Hamburger di vitello o manzo                      |        100 | g             |
| pranzo        | proteins         | Pollo                                             |        150 | g             |
| pranzo        | proteins         | Petto di pollo                                    |        150 | g             |
| pranzo        | proteins         | Tacchino                                          |        150 | g             |
| pranzo        | proteins         | Coniglio                                          |        150 | g             |
| pranzo        | proteins         | Maiale                                            |        100 | g             |
| pranzo        | proteins         | Manzo                                             |        100 | g             |
| pranzo        | proteins         | Vitello                                           |        100 | g             |
| pranzo        | fibers           | Minestrone                                        |        300 | g             |
| pranzo        | fibers           | Pomodori                                          |        200 | g             |
| pranzo        | fibers           | Finocchi                                          |        200 | g             |
