| category         | macro\_nutrient   | dose                          |   quantity | unit\_symbol   |
|------------------|------------------|-------------------------------|------------|---------------|
| colazione        | proteins         | Latte parz.scremato           |        250 | g             |
| colazione        | proteins         | Uova                          |          2 | None          |
| colazione        | proteins         | Albume                        |         60 | g             |
| colazione        | carbohydrates    | Muesli                        |         40 | g             |
| colazione        | carbohydrates    | Pane integrale                |         50 | g             |
| colazione        | proteins         | Fesa di tacchino              |         30 | g             |
| colazione        | proteins         | Prosciutto cotto              |         30 | g             |
| colazione        | carbohydrates    | Fette biscottate integrali    |          4 | None          |
| colazione        | topping          | Miele                         |         20 | g             |
| colazione        | topping          | Marmellata classica           |         20 | g             |
| colazione        | topping          | Crema di cacao e nocciole     |         20 | g             |
| colazione        | carbohydrates    | Taralli                       |         40 | g             |
| colazione        | proteins         | Parmigiano                    |         20 | g             |
| spuntino\_mattina | topping          | Frutta secca                  |         30 | g             |
| spuntino\_mattina | carbohydrates    | Taralli                       |         40 | g             |
| spuntino\_mattina | proteins         | Parmigiano                    |         20 | g             |
| pranzo           | carbohydrates    | Pasta                         |         80 | g             |
| pranzo           | carbohydrates    | Pasta integrale               |         80 | g             |
| pranzo           | carbohydrates    | Farro                         |         80 | g             |
| pranzo           | carbohydrates    | Quinoa                        |         80 | g             |
| pranzo           | carbohydrates    | Grano saraceno                |         80 | g             |
| pranzo           | carbohydrates    | Amaranto                      |         80 | g             |
| pranzo           | carbohydrates    | Couscous                      |         80 | g             |
| pranzo           | carbohydrates    | Orzo                          |         80 | g             |
| pranzo           | carbohydrates    | Riso                          |         80 | g             |
| pranzo           | carbohydrates    | Riso basmati                  |         80 | g             |
| pranzo           | carbohydrates    | Riso integrale                |         80 | g             |
| pranzo           | carbohydrates    | Riso venere                   |         80 | g             |
| pranzo           | carbohydrates    | Pane integrale                |         50 | g             |
| pranzo           | carbohydrates    | Pane                          |         50 | g             |
| pranzo           | carbohydrates    | Piadina                       |         50 | g             |
| pranzo           | carbohydrates    | Piadina integrale             |         50 | g             |
| pranzo           | proteins         | Stracchino                    |         80 | g             |
| pranzo           | proteins         | Ricotta                       |         80 | g             |
| pranzo           | proteins         | Robiola                       |         80 | g             |
| pranzo           | proteins         | Lenticchie                    |        150 | g             |
| pranzo           | proteins         | Fave                          |        150 | g             |
| pranzo           | proteins         | Fagioli                       |        150 | g             |
| pranzo           | proteins         | Ceci                          |        150 | g             |
| pranzo           | proteins         | Piselli                       |        150 | g             |
